"External ID","Summary","Issue Type","Description","Priority","Parent","Sprint","Story Points","Reporter","Labels","Labels","Labels","Labels","Labels","Labels"
"STY-013","BE: Data model design — Org structure + positions","Task","ERD draft: org_units, positions, position_assignments, reporting_lines. Hierarchical queries.","High","PRX-2","Sprint 1","5","PO","be","m1-core-hris","dev-be-2","prx-e1","be","foundation"
"STY-014","QA: Test strategy document (M1 Phase-1)","Task","Strategy: pyramid (unit/int/e2e), tools, coverage targets, automation-manual split.","High","PRX-2","Sprint 1","3","PO","qa","platform","qa-1","prx-e1","qa","foundation"
"STY-015","FE: UI architecture decision record (ADR)","Task","ADR: state mgmt (Zustand vs Redux), forms lib, validation lib, routing patterns.","High","PRX-2","Sprint 1","3","PO","fe","platform","dev-fe-1","prx-e1","fe","platform"
"STY-016","DES: Master layout — high-fidelity (from approved low-fi)","Task","Polish approved master layout: spacing, a11y contrast, responsive breakpoints, tokens applied.","High","PRX-2","Sprint 1","5","PO","des","platform","des-1","prx-e1","design","platform"
"STY-017","PO: Stakeholder interviews — Contracts & documents","Task","Interview Legal + HR Ops. Contract types, lifecycle events, document retention policy.","High","PRX-2","Sprint 2","3","PO","po","m1-core-hris","po","prx-e1","po","foundation"
"STY-018","PO: Stakeholder interviews — Lifecycle events","Task","Interview HR Ops. Hire/promote/transfer/terminate workflows + approval chains.","High","PRX-2","Sprint 2","3","PO","po","m1-core-hris","po","prx-e1","po","foundation"
"STY-019","PO: Stakeholder interviews — M10 Sys Admin","Task","Interview IT Ops + Sys Admin. Tenant config, audit reqs, integrations needed.","High","PRX-2","Sprint 2","3","PO","po","m10-sys-admin","po","prx-e1","po","foundation"
"STY-020","BE: Data model design — Contracts + documents","Task","ERD: contracts, contract_versions, documents, document_acl. Signed URL pattern.","High","PRX-2","Sprint 2","3","PO","be","m1-core-hris","dev-be-1","prx-e1","be","foundation"
"STY-021","BE: Data model design — Lifecycle events + approvals","Task","ERD: lifecycle_events, approval_workflows, approval_steps, approval_history.","High","PRX-2","Sprint 2","3","PO","be","m1-core-hris","dev-be-2","prx-e1","be","foundation"
"STY-022","TL: Integration contract — SSO (OIDC)","Task","OIDC flow spec: scopes, claims mapping, tenant routing. IdP dry-run.","High","PRX-2","Sprint 2","5","PO","tl","platform","tl","prx-e1","tl","platform"
"STY-023","TL: Integration contract — Data imports (CSV/API)","Task","Spec for bulk import: CSV schema, API endpoints, validation rules, error reporting.","High","PRX-2","Sprint 2","3","PO","tl","platform","tl","prx-e1","tl","platform"
"STY-024","DES: Component library — Forms (inputs, selects, datepickers)","Task","Hi-fi Figma components: text, number, select, multi-select, date, date-range. States.","High","PRX-2","Sprint 2","5","PO","des","platform","des-1","prx-e1","design","platform"
"STY-025","DES: Component library — Data display (tables, cards)","Task","Hi-fi Figma: tables (sortable/filterable), cards, tiles, stats. Empty + loading states.","High","PRX-2","Sprint 2","5","PO","des","platform","des-1","prx-e1","design","platform"
"STY-026","DES: M1 Employee records wireframes (list + detail + edit)","Task","Hi-fi screens: list, filters, detail (tabs), create/edit, quick-view.","High","PRX-2","Sprint 2","5","PO","des","m1-core-hris","des-1","prx-e1","design","foundation"
"STY-027","DES: M1 Org structure + Positions wireframes","Task","Hi-fi: org chart viz, position list, assignment UI, bulk reorganise.","High","PRX-2","Sprint 3","5","PO","des","m1-core-hris","des-1","prx-e1","design","foundation"
"STY-028","DES: M1 Contracts + documents wireframes","Task","Hi-fi: contract list, detail, lifecycle actions, documents vault, upload widget.","High","PRX-2","Sprint 3","5","PO","des","m1-core-hris","des-1","prx-e1","design","foundation"
"STY-029","DES: M1 Lifecycle events + approvals wireframes","Task","Hi-fi: timeline, event wizard, approvals inbox, approval detail, notifications.","High","PRX-2","Sprint 3","5","PO","des","m1-core-hris","des-1","prx-e1","design","foundation"
"STY-030","DES: M10 Admin wireframes","Task","Hi-fi: users admin, roles/permissions matrix, tenant config, audit dashboard.","High","PRX-2","Sprint 4","5","PO","des","m10-sys-admin","des-1","prx-e1","design","foundation"
"STY-031","DES: Component library — Navigation + shell","Task","Hi-fi: app header, collapsible sidebar, breadcrumbs, user menu. Dark-mode vars.","High","PRX-2","Sprint 2","5","PO","des","platform","des-1","prx-e1","design","platform"
"STY-032","QA: Test environment setup (local + stage)","Task","Docker compose for local. Stage seeded with anonymized prod-shape data.","High","PRX-2","Sprint 3","3","PO","qa","platform","qa-1","prx-e1","qa","platform"
"STY-033","QA: Automation framework scaffolding","Task","Playwright config, Pact broker, CI wiring, reporting to Allure.","High","PRX-2","Sprint 3","5","PO","qa","platform","qa-1","prx-e1","qa","platform"
"STY-034","FE: Shared components — Button / Input / Select","Task","Implement from design tokens. Storybook stories. Unit tests.","High","PRX-2","Sprint 3","5","PO","fe","platform","dev-fe-1","prx-e1","fe","platform"
"STY-035","FE: Shared components — Table / Card / Badge","Task","Implement from design tokens. Storybook stories. Unit tests.","High","PRX-2","Sprint 3","5","PO","fe","platform","dev-fe-2","prx-e1","fe","platform"
"STY-036","BE: API convention doc + OpenAPI scaffolding","Task","Endpoint naming, pagination, filtering, errors, versioning. OpenAPI spec in repo.","High","PRX-2","Sprint 3","3","PO","be","platform","dev-be-1","prx-e1","be","platform"
"STY-037","BE: Database migration tooling + seed-data pattern","Task","Choose migration tool, set up seeds for local/stage. Document rollback procedure.","High","PRX-2","Sprint 3","3","PO","be","platform","dev-be-2","prx-e1","be","platform"
"STY-038","PO: Design sign-off review session","Task","Review all wireframes + components with HR Ops, Sabry, TL. Capture sign-off.","High","PRX-2","Sprint 3","2","PO","po","m1-core-hris","po","prx-e1","po","foundation"
"STY-039","BE: Tenancy data model + migrations","Task","tenants table, tenant_id FK on all relevant tables. Middleware to inject tenant context.","Highest","PRX-3","Sprint 4","8","PO","be","platform","dev-be-1","prx-e2","be","platform"
"STY-040","BE: Tenant-isolation middleware + query guards","Task","Middleware rejects cross-tenant reads/writes. Query-builder guards + unit tests.","Highest","PRX-3","Sprint 4","5","PO","be","platform","dev-be-1","prx-e2","be","platform"
"STY-041","BE: SSO integration — OIDC provider connection","Task","Connect to chosen IdP. Callback, state, PKCE. Claim→user mapping.","Highest","PRX-3","Sprint 4","8","PO","be","platform","dev-be-2","prx-e2","be","platform"
"STY-042","BE: SSO session handling + refresh tokens","Task","JWT access + refresh pattern. Session storage. Logout flow + token revocation.","Highest","PRX-3","Sprint 4","5","PO","be","platform","dev-be-2","prx-e2","be","platform"
"STY-043","BE: RBAC schema (roles, permissions, role_permissions)","Task","Data model + migrations. Seed default roles (SysAdmin, HRAdmin, Manager, Employee).","Highest","PRX-3","Sprint 4","5","PO","be","platform","dev-be-1","prx-e2","be","platform"
"STY-044","BE: RBAC enforcement middleware + decorators","Task","Route-level + method-level permission checks. Returns 403 with permission name.","Highest","PRX-3","Sprint 4","5","PO","be","platform","dev-be-2","prx-e2","be","platform"
"STY-045","FE: Login screen + SSO flow","Task","Login screen (email capture), redirect to IdP, handle callback, error states.","Highest","PRX-3","Sprint 4","5","PO","fe","platform","dev-fe-1","prx-e2","fe","platform"
"STY-046","FE: Tenant-aware routing + URL scheme","Task","Tenant in subdomain or path prefix. Route guards. Redirect to tenant picker if multi-tenant user.","Highest","PRX-3","Sprint 4","3","PO","fe","platform","dev-fe-1","prx-e2","fe","platform"
"STY-047","FE: Session management + auto-refresh + idle logout","Task","Auto-refresh before expiry. Idle-timeout logout. Warning modal before logout.","Highest","PRX-3","Sprint 4","3","PO","fe","platform","dev-fe-2","prx-e2","fe","platform"
"STY-048","QA: Auth + tenancy + RBAC test suite","Task","E2E: login/logout/refresh. Cross-tenant access rejected. Permission gates verified.","Highest","PRX-3","Sprint 4","5","PO","qa","platform","qa-1","prx-e2","qa","platform"
"STY-049","BE: Audit log data model + write-path","Task","audit_events table. Middleware hooks on every mutating endpoint. Actor, action, target, diff.","High","PRX-3","Sprint 5","5","PO","be","platform","dev-be-1","prx-e2","be","platform"
"STY-050","BE: Audit log query API (filters + pagination)","Task","GET /audit with filters: date-range, actor, action, target-type. Paginated.","High","PRX-3","Sprint 5","3","PO","be","platform","dev-be-1","prx-e2","be","platform"
"STY-051","BE: Platform config endpoints (branding, locale)","Task","Per-tenant config: logo URL, primary color, locale, timezone. Cached.","High","PRX-3","Sprint 5","3","PO","be","platform","dev-be-2","prx-e2","be","platform"
"STY-052","FE: App shell (header + content + footer)","Task","Responsive app shell with skip-to-content, notification slot, user menu slot.","Highest","PRX-3","Sprint 5","5","PO","fe","platform","dev-fe-1","prx-e2","fe","platform"
"STY-053","FE: Collapsible sidebar with module navigation","Task","Sidebar with module icons, active state, collapsible. Keyboard nav. Remember preference.","Highest","PRX-3","Sprint 5","8","PO","fe","platform","dev-fe-2","prx-e2","fe","platform"
"STY-054","FE: Brand tokens wired into runtime theme","Task","CSS vars from @praxion/tokens applied at root. Per-tenant color override supported.","High","PRX-3","Sprint 5","5","PO","fe","platform","dev-fe-1","prx-e2","fe","platform"
"STY-055","FE: User menu + profile dropdown + logout","Task","Dropdown: profile link, settings, switch tenant, sign out.","High","PRX-3","Sprint 5","3","PO","fe","platform","dev-fe-2","prx-e2","fe","platform"
"STY-056","FE: Error boundaries + empty states + loading shells","Task","Shared error boundary, 404/500 pages, skeleton loaders, empty-state component.","High","PRX-3","Sprint 5","3","PO","fe","platform","dev-fe-1","prx-e2","fe","platform"
"STY-057","QA: Audit log + shell e2e + accessibility pass","Task","E2E: audit events captured on CRUD. A11y: keyboard-only nav through shell. Screen-reader smoke.","High","PRX-3","Sprint 5","5","PO","qa","platform","qa-1","prx-e2","qa","platform"
"STY-058","DEVOPS: Staging environment hardening","Task","TLS, rate limits, WAF rules, backup job verified, log retention config.","High","PRX-3","Sprint 5","3","PO","devops","platform","dev-be-2","prx-e2","devops","platform"
"STY-059","BE: employees table + migrations + seed","Task","Full schema per data-model ADR. Soft-delete. Timestamps. Seed 50 anonymized employees.","Highest","PRX-4","Sprint 6","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-060","BE: GET /employees (list + filter + paginate + sort)","Task","List with query params: q, status, org_unit, sort, page. p95 < 200ms on seed.","Highest","PRX-4","Sprint 6","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-061","BE: GET /employees/:id (full detail)","Task","Full record with nested addresses, emergency contacts, current position.","Highest","PRX-4","Sprint 6","3","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-062","BE: POST /employees (create + validation)","Task","Create with full payload validation, uniqueness checks, audit event emitted.","Highest","PRX-4","Sprint 6","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-063","BE: PUT /employees/:id (update + partial)","Task","Full + PATCH semantics. Optimistic concurrency via updated_at. Audit diff emitted.","Highest","PRX-4","Sprint 6","3","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-064","BE: DELETE /employees/:id (soft-delete + restore)","Task","Soft-delete toggles deleted_at. Restore endpoint. Cascade considerations documented.","High","PRX-4","Sprint 6","3","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-065","BE: Employee search (full-text)","Task","Postgres tsvector on name+email+employee_id. Fallback to ILIKE for filters.","High","PRX-4","Sprint 6","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-066","FE: Employees list page (table + filters + search)","Task","Implements design. Server-side pagination, filter chips, keyword search, row click → detail.","Highest","PRX-4","Sprint 6","8","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-067","FE: Employee detail page (tabs: profile, employment, docs)","Task","Tabs layout. Profile tab shows core info. Empty tabs for employment/docs (populated later).","Highest","PRX-4","Sprint 6","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-068","FE: Employee create form (multi-step wizard)","Task","Steps: identity → contact → employment → review. Validation per step. Save-and-exit.","Highest","PRX-4","Sprint 6","8","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-069","FE: Employee edit form + inline-edit where appropriate","Task","Edit form mirrors create. Inline-edit for name + job title on detail page.","Highest","PRX-4","Sprint 6","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-070","FE: Employee profile header component","Task","Avatar + name + job title + status badge. Reused across pages.","High","PRX-4","Sprint 6","3","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-071","QA: Employee CRUD test cases + automation","Task","Test plan: ~40 cases. Automate ~25 (smoke + regression). Cross-tenant isolation verified.","Highest","PRX-4","Sprint 6","5","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-072","QA: Employee search + filter test cases","Task","Test plan: ~15 cases. Edge: unicode names, very long strings, empty results.","Highest","PRX-4","Sprint 6","3","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-073","BE: org_units table + migrations + tree queries","Task","Nested set or adjacency + path column. Queries: ancestors, descendants, siblings.","Highest","PRX-4","Sprint 7","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-074","BE: Org units CRUD API","Task","Create + move + rename + deactivate. Prevent cycles. Audit emitted.","Highest","PRX-4","Sprint 7","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-075","BE: Org tree query endpoint (full + subtree)","Task","GET /org/tree, GET /org/tree/:unit_id. Returns JSON tree with counts.","Highest","PRX-4","Sprint 7","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-076","BE: positions table + CRUD API","Task","Create position, link to org_unit, track headcount approved vs filled.","Highest","PRX-4","Sprint 7","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-077","BE: Position assignment API","Task","Assign employee to position (with start/end dates). Historical assignments preserved.","Highest","PRX-4","Sprint 7","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-078","BE: Reporting-line query endpoint","Task","Given an employee, return up-chain and down-chain. Used by approvals later.","High","PRX-4","Sprint 7","3","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-079","FE: Org chart visualization (interactive)","Task","React-flow or d3. Pan/zoom, click-to-focus, expand/collapse branches.","Highest","PRX-4","Sprint 7","8","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-080","FE: Org unit create/edit form + move dialog","Task","Forms for create/rename. Drag-drop or move-dialog to relocate within tree.","Highest","PRX-4","Sprint 7","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-081","FE: Positions list + detail pages","Task","List filtered by org unit. Detail shows current holder + history.","Highest","PRX-4","Sprint 7","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-082","FE: Position assignment UI (assign / unassign)","Task","Modal with employee picker, date picker, confirm. Historical list below.","Highest","PRX-4","Sprint 7","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-083","FE: Org unit picker component (shared)","Task","Tree-select component for forms. Reused in employee create/edit + other modules later.","High","PRX-4","Sprint 7","5","PO","fe","platform","dev-fe-2","prx-e3","fe","platform"
"STY-084","QA: Org structure + positions test cases","Task","Cycle prevention, move-to-descendant blocked, historical assignments preserved.","Highest","PRX-4","Sprint 7","5","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-085","BE: contracts + contract_versions tables + migrations","Task","Versioned contracts. Types: permanent, fixed-term, probation, consultancy. Enums in lookup.","Highest","PRX-4","Sprint 8","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-086","BE: Contracts CRUD API","Task","Create new contract version. List per employee. Current-contract query.","Highest","PRX-4","Sprint 8","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-087","BE: Contract lifecycle state machine","Task","States: draft → active → renewed → terminated. Valid transitions enforced.","Highest","PRX-4","Sprint 8","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-088","BE: documents + document_acl tables + S3 bucket","Task","Per-tenant bucket or per-tenant prefix. ACL table for fine-grained access.","Highest","PRX-4","Sprint 8","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-089","BE: Document upload (signed-URL + virus-scan)","Task","Client gets signed URL, uploads direct to S3. Lambda/worker scans. Notify on clean.","Highest","PRX-4","Sprint 8","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-090","BE: Document download/metadata endpoint","Task","Signed URL on demand. Metadata (uploader, size, mime, tags) cached.","High","PRX-4","Sprint 8","3","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-091","FE: Contracts list + detail pages","Task","Filter by employee, type, status. Detail shows current version + history.","Highest","PRX-4","Sprint 8","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-092","FE: Contract create/edit form","Task","Form with dynamic fields per contract type. Attach document at creation.","Highest","PRX-4","Sprint 8","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-093","FE: Contract lifecycle actions (renew / terminate / sign)","Task","Action buttons with confirm modals. Terminate requires reason + date.","Highest","PRX-4","Sprint 8","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-094","FE: Documents vault page (per employee)","Task","List of documents with tags, filters, bulk download.","High","PRX-4","Sprint 8","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-095","FE: Document upload widget (drag-drop + progress)","Task","Reusable widget. Supports multiple files, shows per-file progress, retries failed.","Highest","PRX-4","Sprint 8","5","PO","fe","platform","dev-fe-2","prx-e3","fe","platform"
"STY-096","FE: Document viewer (PDF preview modal)","Task","PDF.js-based viewer in modal. Download + print actions. Fallback for other types.","High","PRX-4","Sprint 8","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-097","QA: Contracts + documents test cases","Task","Lifecycle state machine verified. Upload/download + ACL tested. Virus-scan mock.","Highest","PRX-4","Sprint 8","5","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-098","BE: lifecycle_events table + API (hire/promote/transfer/terminate)","Task","Event types: hire, promote, transfer, salary-change, terminate. Immutable after creation.","Highest","PRX-4","Sprint 9","5","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-099","BE: Approvals data model (workflows, steps, history)","Task","approval_workflows, approval_workflow_steps (order + approver_role), approval_history.","Highest","PRX-4","Sprint 9","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-100","BE: Approval engine — state transitions","Task","States: pending → approved/rejected. Multi-step with parallel or sequential. Timeouts.","Highest","PRX-4","Sprint 9","8","PO","be","m1-core-hris","dev-be-1","prx-e3","be","foundation"
"STY-101","BE: Notifications service + email templates","Task","Pluggable provider (SES/SMTP). Templates: approval-requested, approved, rejected, reminder.","Highest","PRX-4","Sprint 9","5","PO","be","platform","dev-be-2","prx-e3","be","platform"
"STY-102","BE: Approval audit trail + SLA metrics","Task","Full trail per approval. Track time-to-approve. SLA thresholds in config.","High","PRX-4","Sprint 9","3","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-103","FE: Lifecycle event timeline component","Task","Vertical timeline on employee detail. Icons per event type. Click → event detail.","Highest","PRX-4","Sprint 9","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-104","FE: Lifecycle event create wizard (promote/transfer)","Task","Multi-step wizard. Pre-fills from current state. Triggers approval workflow.","Highest","PRX-4","Sprint 9","8","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-105","FE: Approvals inbox page (pending + completed)","Task","List pending approvals for current user. Filter by type + age.","Highest","PRX-4","Sprint 9","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-106","FE: Approval detail page + approve/reject action","Task","Shows payload diff. Approve/Reject with comment. Confirmation modal.","Highest","PRX-4","Sprint 9","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-107","FE: Notifications UI (bell icon + dropdown + mark-read)","Task","Header bell with unread count. Dropdown with recent. Link to full notifications page.","High","PRX-4","Sprint 9","3","PO","fe","platform","dev-fe-2","prx-e3","fe","platform"
"STY-108","QA: Lifecycle events test cases","Task","Hire/promote/transfer/terminate flows. Audit verification. Edge cases.","Highest","PRX-4","Sprint 9","5","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-109","QA: Approvals test cases + SLA scenarios","Task","Multi-step approvals. Rejection reroute. Timeout/reminder. SLA breach.","Highest","PRX-4","Sprint 9","4","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-110","BE: Query performance tuning + indexes review","Task","Slow-query log analysis. Add missing indexes. Materialized views where warranted.","High","PRX-4","Sprint 10","5","PO","be","platform","dev-be-1","prx-e3","be","platform"
"STY-111","BE: API rate limiting + throttling per tenant","Task","Token bucket per tenant + per user. Configurable limits. 429 with retry-after.","High","PRX-4","Sprint 10","3","PO","be","platform","dev-be-1","prx-e3","be","platform"
"STY-112","BE: Bulk import API (employees CSV)","Task","Upload CSV, validate per-row, stream report. Dry-run mode. Transactional or row-by-row.","High","PRX-4","Sprint 10","5","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-113","BE: Export API (employees, contracts, org)","Task","CSV/XLSX export with field selection. Streamed for large sets.","High","PRX-4","Sprint 10","3","PO","be","m1-core-hris","dev-be-2","prx-e3","be","foundation"
"STY-114","BE: M10 admin scaffolding (users, roles, permissions routes)","Task","Scaffold only — no full CRUD yet. Prep for Sprint 11.","High","PRX-4","Sprint 10","5","PO","be","m10-sys-admin","dev-be-2","prx-e3","be","foundation"
"STY-115","FE: Bulk import wizard UI (upload → map → validate → commit)","Task","Four-step wizard. Column mapping UI. Validation errors inline. Commit with progress.","High","PRX-4","Sprint 10","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-116","FE: Export UI (field selector + format picker)","Task","Modal with field checkboxes + format radio + trigger. Download when ready.","High","PRX-4","Sprint 10","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-117","FE: Employee profile enhancements (avatar upload + photo crop)","Task","Upload + crop + save. Fallback initials avatar. Consistent across the app.","Medium","PRX-4","Sprint 10","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-118","FE: Advanced search + saved filters","Task","Builder UI for complex filters. Save named views. Shareable URLs.","Medium","PRX-4","Sprint 10","5","PO","fe","m1-core-hris","dev-fe-2","prx-e3","fe","foundation"
"STY-119","FE: Home dashboard widgets (stats + recent events)","Task","Dashboard page with 4-6 widgets. Employee count, upcoming anniversaries, pending approvals.","High","PRX-4","Sprint 10","5","PO","fe","m1-core-hris","dev-fe-1","prx-e3","fe","foundation"
"STY-120","FE: M10 admin shell scaffolding (routes + empty pages)","Task","Wires M10 routes + nav entry. Empty pages ready for Sprint 11 fill.","High","PRX-4","Sprint 10","3","PO","fe","m10-sys-admin","dev-fe-2","prx-e3","fe","foundation"
"STY-121","QA: M1 full regression test suite + automation run","Task","Automate regression. 2-hour CI run. Fail-fast gate to block merge.","Highest","PRX-4","Sprint 10","8","PO","qa","m1-core-hris","qa-1","prx-e3","qa","foundation"
"STY-122","QA: Performance test baseline (k6 scenarios)","Task","Define SLOs: list < 200ms p95, detail < 100ms p95, create < 300ms p95. Baseline run.","High","PRX-4","Sprint 10","5","PO","qa","platform","qa-1","prx-e3","qa","platform"
"STY-123","DES: M1 visual QA pass + polish tickets","Task","Hi-fi vs implementation diff. Log polish tickets. Accessibility contrast verified.","High","PRX-4","Sprint 10","3","PO","des","m1-core-hris","des-1","prx-e3","design","foundation"
"STY-124","BE: Users admin CRUD API (invite/activate/deactivate)","Task","Admin can create users, invite by email, activate, deactivate, reset password.","Highest","PRX-5","Sprint 11","5","PO","be","m10-sys-admin","dev-be-1","prx-e4","be","foundation"
"STY-125","BE: Roles CRUD API + default roles seed","Task","Admin can create custom roles. Seed ships SysAdmin, HRAdmin, Manager, Employee.","Highest","PRX-5","Sprint 11","5","PO","be","m10-sys-admin","dev-be-1","prx-e4","be","foundation"
"STY-126","BE: Permissions matrix API (permissions × roles)","Task","GET/PUT matrix. Granular: module.resource.action. Cached heavily.","Highest","PRX-5","Sprint 11","5","PO","be","m10-sys-admin","dev-be-1","prx-e4","be","foundation"
"STY-127","BE: User-role assignment API (multi-role)","Task","Assign/revoke roles. Permission resolution = union of role permissions.","Highest","PRX-5","Sprint 11","3","PO","be","m10-sys-admin","dev-be-2","prx-e4","be","foundation"
"STY-128","FE: Users admin list + detail pages","Task","List with filters (status, role). Detail shows assigned roles + activity.","Highest","PRX-5","Sprint 11","5","PO","fe","m10-sys-admin","dev-fe-1","prx-e4","fe","foundation"
