"External ID","Summary","Issue Type","Parent ID","Assignee","Original Estimate","Labels"
"SUB-026","Schema/migration — Data model design — Org structure + positions","Subtask","STY-013","DEV-BE-2","4h","sub"
"SUB-027","Implementation — Data model design — Org structure + positions","Subtask","STY-013","DEV-BE-2","10h","sub"
"SUB-028","Unit + integration tests — Data model design — Org structure + positions","Subtask","STY-013","DEV-BE-2","4h","sub"
"SUB-029","Test plan + cases — Test strategy document (M1 Phase-1)","Subtask","STY-014","QA-1","4h","sub"
"SUB-030","Automation scripts — Test strategy document (M1 Phase-1)","Subtask","STY-014","QA-1","6h","sub"
"SUB-031","Component/page build — UI architecture decision record (ADR)","Subtask","STY-015","DEV-FE-1","8h","sub"
"SUB-032","State wiring + form validation — UI architecture decision record (ADR)","Subtask","STY-015","DEV-FE-1","4h","sub"
"SUB-033","E2E + a11y pass — UI architecture decision record (ADR)","Subtask","STY-015","DEV-FE-1","3h","sub"
"SUB-034","Figma build — Master layout — high-fidelity (from approved low-fi)","Subtask","STY-016","DES-1","10h","sub"
"SUB-035","Review + handoff — Master layout — high-fidelity (from approved low-fi)","Subtask","STY-016","DES-1","2h","sub"
"SUB-036","Research / draft — Stakeholder interviews — Contracts & documents","Subtask","STY-017","PO","4h","sub"
"SUB-037","Review + finalize — Stakeholder interviews — Contracts & documents","Subtask","STY-017","PO","2h","sub"
"SUB-038","Research / draft — Stakeholder interviews — Lifecycle events","Subtask","STY-018","PO","4h","sub"
"SUB-039","Review + finalize — Stakeholder interviews — Lifecycle events","Subtask","STY-018","PO","2h","sub"
"SUB-040","Research / draft — Stakeholder interviews — M10 Sys Admin","Subtask","STY-019","PO","4h","sub"
"SUB-041","Review + finalize — Stakeholder interviews — M10 Sys Admin","Subtask","STY-019","PO","2h","sub"
"SUB-042","Schema/migration — Data model design — Contracts + documents","Subtask","STY-020","DEV-BE-1","4h","sub"
"SUB-043","Implementation — Data model design — Contracts + documents","Subtask","STY-020","DEV-BE-1","8h","sub"
"SUB-044","Unit + integration tests — Data model design — Contracts + documents","Subtask","STY-020","DEV-BE-1","4h","sub"
"SUB-045","Schema/migration — Data model design — Lifecycle events + approvals","Subtask","STY-021","DEV-BE-2","4h","sub"
"SUB-046","Implementation — Data model design — Lifecycle events + approvals","Subtask","STY-021","DEV-BE-2","8h","sub"
"SUB-047","Unit + integration tests — Data model design — Lifecycle events + approvals","Subtask","STY-021","DEV-BE-2","4h","sub"
"SUB-048","Research / draft — Integration contract — SSO (OIDC)","Subtask","STY-022","TL","4h","sub"
"SUB-049","Review + finalize — Integration contract — SSO (OIDC)","Subtask","STY-022","TL","2h","sub"
"SUB-050","Research / draft — Integration contract — Data imports (CSV/API)","Subtask","STY-023","TL","4h","sub"
"SUB-051","Review + finalize — Integration contract — Data imports (CSV/API)","Subtask","STY-023","TL","2h","sub"
"SUB-052","Figma build — Component library — Forms (inputs, selects, datepickers)","Subtask","STY-024","DES-1","10h","sub"
"SUB-053","Review + handoff — Component library — Forms (inputs, selects, datepickers)","Subtask","STY-024","DES-1","2h","sub"
"SUB-054","Figma build — Component library — Data display (tables, cards)","Subtask","STY-025","DES-1","10h","sub"
"SUB-055","Review + handoff — Component library — Data display (tables, cards)","Subtask","STY-025","DES-1","2h","sub"
"SUB-056","Figma build — M1 Employee records wireframes (list + detail + edit)","Subtask","STY-026","DES-1","10h","sub"
"SUB-057","Review + handoff — M1 Employee records wireframes (list + detail + edit)","Subtask","STY-026","DES-1","2h","sub"
"SUB-058","Figma build — M1 Org structure + Positions wireframes","Subtask","STY-027","DES-1","10h","sub"
"SUB-059","Review + handoff — M1 Org structure + Positions wireframes","Subtask","STY-027","DES-1","2h","sub"
"SUB-060","Figma build — M1 Contracts + documents wireframes","Subtask","STY-028","DES-1","10h","sub"
"SUB-061","Review + handoff — M1 Contracts + documents wireframes","Subtask","STY-028","DES-1","2h","sub"
"SUB-062","Figma build — M1 Lifecycle events + approvals wireframes","Subtask","STY-029","DES-1","10h","sub"
"SUB-063","Review + handoff — M1 Lifecycle events + approvals wireframes","Subtask","STY-029","DES-1","2h","sub"
"SUB-064","Figma build — M10 Admin wireframes","Subtask","STY-030","DES-1","10h","sub"
"SUB-065","Review + handoff — M10 Admin wireframes","Subtask","STY-030","DES-1","2h","sub"
"SUB-066","Figma build — Component library — Navigation + shell","Subtask","STY-031","DES-1","10h","sub"
"SUB-067","Review + handoff — Component library — Navigation + shell","Subtask","STY-031","DES-1","2h","sub"
"SUB-068","Test plan + cases — Test environment setup (local + stage)","Subtask","STY-032","QA-1","4h","sub"
"SUB-069","Automation scripts — Test environment setup (local + stage)","Subtask","STY-032","QA-1","6h","sub"
"SUB-070","Test plan + cases — Automation framework scaffolding","Subtask","STY-033","QA-1","4h","sub"
"SUB-071","Automation scripts — Automation framework scaffolding","Subtask","STY-033","QA-1","10h","sub"
"SUB-072","Component/page build — Shared components — Button / Input / Select","Subtask","STY-034","DEV-FE-1","10h","sub"
"SUB-073","State wiring + form validation — Shared components — Button / Input / Select","Subtask","STY-034","DEV-FE-1","4h","sub"
"SUB-074","E2E + a11y pass — Shared components — Button / Input / Select","Subtask","STY-034","DEV-FE-1","3h","sub"
"SUB-075","Component/page build — Shared components — Table / Card / Badge","Subtask","STY-035","DEV-FE-2","10h","sub"
"SUB-076","State wiring + form validation — Shared components — Table / Card / Badge","Subtask","STY-035","DEV-FE-2","4h","sub"
"SUB-077","E2E + a11y pass — Shared components — Table / Card / Badge","Subtask","STY-035","DEV-FE-2","3h","sub"
"SUB-078","Schema/migration — API convention doc + OpenAPI scaffolding","Subtask","STY-036","DEV-BE-1","4h","sub"
"SUB-079","Implementation — API convention doc + OpenAPI scaffolding","Subtask","STY-036","DEV-BE-1","8h","sub"
"SUB-080","Unit + integration tests — API convention doc + OpenAPI scaffolding","Subtask","STY-036","DEV-BE-1","4h","sub"
"SUB-081","Schema/migration — Database migration tooling + seed-data pattern","Subtask","STY-037","DEV-BE-2","4h","sub"
"SUB-082","Implementation — Database migration tooling + seed-data pattern","Subtask","STY-037","DEV-BE-2","8h","sub"
"SUB-083","Unit + integration tests — Database migration tooling + seed-data pattern","Subtask","STY-037","DEV-BE-2","4h","sub"
"SUB-084","Schema/migration — Tenancy data model + migrations","Subtask","STY-039","DEV-BE-1","4h","sub"
"SUB-085","Implementation — Tenancy data model + migrations","Subtask","STY-039","DEV-BE-1","16h","sub"
"SUB-086","Unit + integration tests — Tenancy data model + migrations","Subtask","STY-039","DEV-BE-1","4h","sub"
"SUB-087","Schema/migration — Tenant-isolation middleware + query guards","Subtask","STY-040","DEV-BE-1","4h","sub"
"SUB-088","Implementation — Tenant-isolation middleware + query guards","Subtask","STY-040","DEV-BE-1","10h","sub"
"SUB-089","Unit + integration tests — Tenant-isolation middleware + query guards","Subtask","STY-040","DEV-BE-1","4h","sub"
"SUB-090","Schema/migration — SSO integration — OIDC provider connection","Subtask","STY-041","DEV-BE-2","4h","sub"
"SUB-091","Implementation — SSO integration — OIDC provider connection","Subtask","STY-041","DEV-BE-2","16h","sub"
"SUB-092","Unit + integration tests — SSO integration — OIDC provider connection","Subtask","STY-041","DEV-BE-2","4h","sub"
"SUB-093","Schema/migration — SSO session handling + refresh tokens","Subtask","STY-042","DEV-BE-2","4h","sub"
"SUB-094","Implementation — SSO session handling + refresh tokens","Subtask","STY-042","DEV-BE-2","10h","sub"
"SUB-095","Unit + integration tests — SSO session handling + refresh tokens","Subtask","STY-042","DEV-BE-2","4h","sub"
"SUB-096","Schema/migration — RBAC schema (roles, permissions, role_permissions)","Subtask","STY-043","DEV-BE-1","4h","sub"
"SUB-097","Implementation — RBAC schema (roles, permissions, role_permissions)","Subtask","STY-043","DEV-BE-1","10h","sub"
"SUB-098","Unit + integration tests — RBAC schema (roles, permissions, role_permissions)","Subtask","STY-043","DEV-BE-1","4h","sub"
"SUB-099","Schema/migration — RBAC enforcement middleware + decorators","Subtask","STY-044","DEV-BE-2","4h","sub"
"SUB-100","Implementation — RBAC enforcement middleware + decorators","Subtask","STY-044","DEV-BE-2","10h","sub"
"SUB-101","Unit + integration tests — RBAC enforcement middleware + decorators","Subtask","STY-044","DEV-BE-2","4h","sub"
"SUB-102","Component/page build — Login screen + SSO flow","Subtask","STY-045","DEV-FE-1","10h","sub"
"SUB-103","State wiring + form validation — Login screen + SSO flow","Subtask","STY-045","DEV-FE-1","4h","sub"
"SUB-104","E2E + a11y pass — Login screen + SSO flow","Subtask","STY-045","DEV-FE-1","3h","sub"
"SUB-105","Component/page build — Tenant-aware routing + URL scheme","Subtask","STY-046","DEV-FE-1","8h","sub"
"SUB-106","State wiring + form validation — Tenant-aware routing + URL scheme","Subtask","STY-046","DEV-FE-1","4h","sub"
"SUB-107","E2E + a11y pass — Tenant-aware routing + URL scheme","Subtask","STY-046","DEV-FE-1","3h","sub"
"SUB-108","Component/page build — Session management + auto-refresh + idle logout","Subtask","STY-047","DEV-FE-2","8h","sub"
"SUB-109","State wiring + form validation — Session management + auto-refresh + idle logout","Subtask","STY-047","DEV-FE-2","4h","sub"
"SUB-110","E2E + a11y pass — Session management + auto-refresh + idle logout","Subtask","STY-047","DEV-FE-2","3h","sub"
"SUB-111","Test plan + cases — Auth + tenancy + RBAC test suite","Subtask","STY-048","QA-1","4h","sub"
"SUB-112","Automation scripts — Auth + tenancy + RBAC test suite","Subtask","STY-048","QA-1","10h","sub"
"SUB-113","Schema/migration — Audit log data model + write-path","Subtask","STY-049","DEV-BE-1","4h","sub"
"SUB-114","Implementation — Audit log data model + write-path","Subtask","STY-049","DEV-BE-1","10h","sub"
"SUB-115","Unit + integration tests — Audit log data model + write-path","Subtask","STY-049","DEV-BE-1","4h","sub"
"SUB-116","Schema/migration — Audit log query API (filters + pagination)","Subtask","STY-050","DEV-BE-1","4h","sub"
"SUB-117","Implementation — Audit log query API (filters + pagination)","Subtask","STY-050","DEV-BE-1","8h","sub"
"SUB-118","Unit + integration tests — Audit log query API (filters + pagination)","Subtask","STY-050","DEV-BE-1","4h","sub"
"SUB-119","Schema/migration — Platform config endpoints (branding, locale)","Subtask","STY-051","DEV-BE-2","4h","sub"
"SUB-120","Implementation — Platform config endpoints (branding, locale)","Subtask","STY-051","DEV-BE-2","8h","sub"
"SUB-121","Unit + integration tests — Platform config endpoints (branding, locale)","Subtask","STY-051","DEV-BE-2","4h","sub"
"SUB-122","Component/page build — App shell (header + content + footer)","Subtask","STY-052","DEV-FE-1","10h","sub"
"SUB-123","State wiring + form validation — App shell (header + content + footer)","Subtask","STY-052","DEV-FE-1","4h","sub"
"SUB-124","E2E + a11y pass — App shell (header + content + footer)","Subtask","STY-052","DEV-FE-1","3h","sub"
"SUB-125","Component/page build — Collapsible sidebar with module navigation","Subtask","STY-053","DEV-FE-2","16h","sub"
"SUB-126","State wiring + form validation — Collapsible sidebar with module navigation","Subtask","STY-053","DEV-FE-2","4h","sub"
"SUB-127","E2E + a11y pass — Collapsible sidebar with module navigation","Subtask","STY-053","DEV-FE-2","3h","sub"
"SUB-128","Component/page build — Brand tokens wired into runtime theme","Subtask","STY-054","DEV-FE-1","10h","sub"
"SUB-129","State wiring + form validation — Brand tokens wired into runtime theme","Subtask","STY-054","DEV-FE-1","4h","sub"
"SUB-130","E2E + a11y pass — Brand tokens wired into runtime theme","Subtask","STY-054","DEV-FE-1","3h","sub"
"SUB-131","Component/page build — User menu + profile dropdown + logout","Subtask","STY-055","DEV-FE-2","8h","sub"
"SUB-132","State wiring + form validation — User menu + profile dropdown + logout","Subtask","STY-055","DEV-FE-2","4h","sub"
"SUB-133","E2E + a11y pass — User menu + profile dropdown + logout","Subtask","STY-055","DEV-FE-2","3h","sub"
"SUB-134","Component/page build — Error boundaries + empty states + loading shells","Subtask","STY-056","DEV-FE-1","8h","sub"
"SUB-135","State wiring + form validation — Error boundaries + empty states + loading shells","Subtask","STY-056","DEV-FE-1","4h","sub"
"SUB-136","E2E + a11y pass — Error boundaries + empty states + loading shells","Subtask","STY-056","DEV-FE-1","3h","sub"
"SUB-137","Test plan + cases — Audit log + shell e2e + accessibility pass","Subtask","STY-057","QA-1","4h","sub"
"SUB-138","Automation scripts — Audit log + shell e2e + accessibility pass","Subtask","STY-057","QA-1","10h","sub"
"SUB-139","Schema/migration — Staging environment hardening","Subtask","STY-058","DEV-BE-2","4h","sub"
"SUB-140","Implementation — Staging environment hardening","Subtask","STY-058","DEV-BE-2","8h","sub"
"SUB-141","Unit + integration tests — Staging environment hardening","Subtask","STY-058","DEV-BE-2","4h","sub"
"SUB-142","Schema/migration — employees table + migrations + seed","Subtask","STY-059","DEV-BE-1","4h","sub"
"SUB-143","Implementation — employees table + migrations + seed","Subtask","STY-059","DEV-BE-1","10h","sub"
"SUB-144","Unit + integration tests — employees table + migrations + seed","Subtask","STY-059","DEV-BE-1","4h","sub"
"SUB-145","Schema/migration — GET /employees (list + filter + paginate + sort)","Subtask","STY-060","DEV-BE-1","4h","sub"
"SUB-146","Implementation — GET /employees (list + filter + paginate + sort)","Subtask","STY-060","DEV-BE-1","10h","sub"
"SUB-147","Unit + integration tests — GET /employees (list + filter + paginate + sort)","Subtask","STY-060","DEV-BE-1","4h","sub"
"SUB-148","Schema/migration — GET /employees/:id (full detail)","Subtask","STY-061","DEV-BE-1","4h","sub"
"SUB-149","Implementation — GET /employees/:id (full detail)","Subtask","STY-061","DEV-BE-1","8h","sub"
"SUB-150","Unit + integration tests — GET /employees/:id (full detail)","Subtask","STY-061","DEV-BE-1","4h","sub"
"SUB-151","Schema/migration — POST /employees (create + validation)","Subtask","STY-062","DEV-BE-2","4h","sub"
"SUB-152","Implementation — POST /employees (create + validation)","Subtask","STY-062","DEV-BE-2","10h","sub"
"SUB-153","Unit + integration tests — POST /employees (create + validation)","Subtask","STY-062","DEV-BE-2","4h","sub"
"SUB-154","Schema/migration — PUT /employees/:id (update + partial)","Subtask","STY-063","DEV-BE-2","4h","sub"
"SUB-155","Implementation — PUT /employees/:id (update + partial)","Subtask","STY-063","DEV-BE-2","8h","sub"
"SUB-156","Unit + integration tests — PUT /employees/:id (update + partial)","Subtask","STY-063","DEV-BE-2","4h","sub"
"SUB-157","Schema/migration — DELETE /employees/:id (soft-delete + restore)","Subtask","STY-064","DEV-BE-2","4h","sub"
"SUB-158","Implementation — DELETE /employees/:id (soft-delete + restore)","Subtask","STY-064","DEV-BE-2","8h","sub"
"SUB-159","Unit + integration tests — DELETE /employees/:id (soft-delete + restore)","Subtask","STY-064","DEV-BE-2","4h","sub"
"SUB-160","Schema/migration — Employee search (full-text)","Subtask","STY-065","DEV-BE-2","4h","sub"
"SUB-161","Implementation — Employee search (full-text)","Subtask","STY-065","DEV-BE-2","10h","sub"
"SUB-162","Unit + integration tests — Employee search (full-text)","Subtask","STY-065","DEV-BE-2","4h","sub"
"SUB-163","Component/page build — Employees list page (table + filters + search)","Subtask","STY-066","DEV-FE-1","16h","sub"
"SUB-164","State wiring + form validation — Employees list page (table + filters + search)","Subtask","STY-066","DEV-FE-1","4h","sub"
"SUB-165","E2E + a11y pass — Employees list page (table + filters + search)","Subtask","STY-066","DEV-FE-1","3h","sub"
"SUB-166","Component/page build — Employee detail page (tabs: profile, employment, docs)","Subtask","STY-067","DEV-FE-1","10h","sub"
"SUB-167","State wiring + form validation — Employee detail page (tabs: profile, employment, docs)","Subtask","STY-067","DEV-FE-1","4h","sub"
"SUB-168","E2E + a11y pass — Employee detail page (tabs: profile, employment, docs)","Subtask","STY-067","DEV-FE-1","3h","sub"
"SUB-169","Component/page build — Employee create form (multi-step wizard)","Subtask","STY-068","DEV-FE-2","16h","sub"
"SUB-170","State wiring + form validation — Employee create form (multi-step wizard)","Subtask","STY-068","DEV-FE-2","4h","sub"
"SUB-171","E2E + a11y pass — Employee create form (multi-step wizard)","Subtask","STY-068","DEV-FE-2","3h","sub"
"SUB-172","Component/page build — Employee edit form + inline-edit where appropriate","Subtask","STY-069","DEV-FE-2","10h","sub"
"SUB-173","State wiring + form validation — Employee edit form + inline-edit where appropriate","Subtask","STY-069","DEV-FE-2","4h","sub"
"SUB-174","E2E + a11y pass — Employee edit form + inline-edit where appropriate","Subtask","STY-069","DEV-FE-2","3h","sub"
"SUB-175","Component/page build — Employee profile header component","Subtask","STY-070","DEV-FE-2","8h","sub"
"SUB-176","State wiring + form validation — Employee profile header component","Subtask","STY-070","DEV-FE-2","4h","sub"
"SUB-177","E2E + a11y pass — Employee profile header component","Subtask","STY-070","DEV-FE-2","3h","sub"
"SUB-178","Test plan + cases — Employee CRUD test cases + automation","Subtask","STY-071","QA-1","4h","sub"
"SUB-179","Automation scripts — Employee CRUD test cases + automation","Subtask","STY-071","QA-1","10h","sub"
"SUB-180","Test plan + cases — Employee search + filter test cases","Subtask","STY-072","QA-1","4h","sub"
"SUB-181","Automation scripts — Employee search + filter test cases","Subtask","STY-072","QA-1","6h","sub"
"SUB-182","Schema/migration — org_units table + migrations + tree queries","Subtask","STY-073","DEV-BE-1","4h","sub"
"SUB-183","Implementation — org_units table + migrations + tree queries","Subtask","STY-073","DEV-BE-1","10h","sub"
"SUB-184","Unit + integration tests — org_units table + migrations + tree queries","Subtask","STY-073","DEV-BE-1","4h","sub"
"SUB-185","Schema/migration — Org units CRUD API","Subtask","STY-074","DEV-BE-1","4h","sub"
"SUB-186","Implementation — Org units CRUD API","Subtask","STY-074","DEV-BE-1","10h","sub"
"SUB-187","Unit + integration tests — Org units CRUD API","Subtask","STY-074","DEV-BE-1","4h","sub"
"SUB-188","Schema/migration — Org tree query endpoint (full + subtree)","Subtask","STY-075","DEV-BE-1","4h","sub"
"SUB-189","Implementation — Org tree query endpoint (full + subtree)","Subtask","STY-075","DEV-BE-1","10h","sub"
"SUB-190","Unit + integration tests — Org tree query endpoint (full + subtree)","Subtask","STY-075","DEV-BE-1","4h","sub"
"SUB-191","Schema/migration — positions table + CRUD API","Subtask","STY-076","DEV-BE-2","4h","sub"
"SUB-192","Implementation — positions table + CRUD API","Subtask","STY-076","DEV-BE-2","10h","sub"
"SUB-193","Unit + integration tests — positions table + CRUD API","Subtask","STY-076","DEV-BE-2","4h","sub"
"SUB-194","Schema/migration — Position assignment API","Subtask","STY-077","DEV-BE-2","4h","sub"
"SUB-195","Implementation — Position assignment API","Subtask","STY-077","DEV-BE-2","10h","sub"
"SUB-196","Unit + integration tests — Position assignment API","Subtask","STY-077","DEV-BE-2","4h","sub"
"SUB-197","Schema/migration — Reporting-line query endpoint","Subtask","STY-078","DEV-BE-2","4h","sub"
"SUB-198","Implementation — Reporting-line query endpoint","Subtask","STY-078","DEV-BE-2","8h","sub"
"SUB-199","Unit + integration tests — Reporting-line query endpoint","Subtask","STY-078","DEV-BE-2","4h","sub"
"SUB-200","Component/page build — Org chart visualization (interactive)","Subtask","STY-079","DEV-FE-1","16h","sub"
"SUB-201","State wiring + form validation — Org chart visualization (interactive)","Subtask","STY-079","DEV-FE-1","4h","sub"
"SUB-202","E2E + a11y pass — Org chart visualization (interactive)","Subtask","STY-079","DEV-FE-1","3h","sub"
"SUB-203","Component/page build — Org unit create/edit form + move dialog","Subtask","STY-080","DEV-FE-1","10h","sub"
"SUB-204","State wiring + form validation — Org unit create/edit form + move dialog","Subtask","STY-080","DEV-FE-1","4h","sub"
"SUB-205","E2E + a11y pass — Org unit create/edit form + move dialog","Subtask","STY-080","DEV-FE-1","3h","sub"
"SUB-206","Component/page build — Positions list + detail pages","Subtask","STY-081","DEV-FE-2","10h","sub"
"SUB-207","State wiring + form validation — Positions list + detail pages","Subtask","STY-081","DEV-FE-2","4h","sub"
"SUB-208","E2E + a11y pass — Positions list + detail pages","Subtask","STY-081","DEV-FE-2","3h","sub"
"SUB-209","Component/page build — Position assignment UI (assign / unassign)","Subtask","STY-082","DEV-FE-2","10h","sub"
"SUB-210","State wiring + form validation — Position assignment UI (assign / unassign)","Subtask","STY-082","DEV-FE-2","4h","sub"
"SUB-211","E2E + a11y pass — Position assignment UI (assign / unassign)","Subtask","STY-082","DEV-FE-2","3h","sub"
"SUB-212","Component/page build — Org unit picker component (shared)","Subtask","STY-083","DEV-FE-2","10h","sub"
"SUB-213","State wiring + form validation — Org unit picker component (shared)","Subtask","STY-083","DEV-FE-2","4h","sub"
"SUB-214","E2E + a11y pass — Org unit picker component (shared)","Subtask","STY-083","DEV-FE-2","3h","sub"
"SUB-215","Test plan + cases — Org structure + positions test cases","Subtask","STY-084","QA-1","4h","sub"
"SUB-216","Automation scripts — Org structure + positions test cases","Subtask","STY-084","QA-1","10h","sub"
"SUB-217","Schema/migration — contracts + contract_versions tables + migrations","Subtask","STY-085","DEV-BE-1","4h","sub"
"SUB-218","Implementation — contracts + contract_versions tables + migrations","Subtask","STY-085","DEV-BE-1","10h","sub"
"SUB-219","Unit + integration tests — contracts + contract_versions tables + migrations","Subtask","STY-085","DEV-BE-1","4h","sub"
"SUB-220","Schema/migration — Contracts CRUD API","Subtask","STY-086","DEV-BE-1","4h","sub"
"SUB-221","Implementation — Contracts CRUD API","Subtask","STY-086","DEV-BE-1","10h","sub"
"SUB-222","Unit + integration tests — Contracts CRUD API","Subtask","STY-086","DEV-BE-1","4h","sub"
"SUB-223","Schema/migration — Contract lifecycle state machine","Subtask","STY-087","DEV-BE-1","4h","sub"
"SUB-224","Implementation — Contract lifecycle state machine","Subtask","STY-087","DEV-BE-1","10h","sub"
"SUB-225","Unit + integration tests — Contract lifecycle state machine","Subtask","STY-087","DEV-BE-1","4h","sub"
"SUB-226","Schema/migration — documents + document_acl tables + S3 bucket","Subtask","STY-088","DEV-BE-2","4h","sub"
"SUB-227","Implementation — documents + document_acl tables + S3 bucket","Subtask","STY-088","DEV-BE-2","10h","sub"
"SUB-228","Unit + integration tests — documents + document_acl tables + S3 bucket","Subtask","STY-088","DEV-BE-2","4h","sub"
"SUB-229","Schema/migration — Document upload (signed-URL + virus-scan)","Subtask","STY-089","DEV-BE-2","4h","sub"
"SUB-230","Implementation — Document upload (signed-URL + virus-scan)","Subtask","STY-089","DEV-BE-2","10h","sub"
"SUB-231","Unit + integration tests — Document upload (signed-URL + virus-scan)","Subtask","STY-089","DEV-BE-2","4h","sub"
"SUB-232","Schema/migration — Document download/metadata endpoint","Subtask","STY-090","DEV-BE-2","4h","sub"
"SUB-233","Implementation — Document download/metadata endpoint","Subtask","STY-090","DEV-BE-2","8h","sub"
"SUB-234","Unit + integration tests — Document download/metadata endpoint","Subtask","STY-090","DEV-BE-2","4h","sub"
"SUB-235","Component/page build — Contracts list + detail pages","Subtask","STY-091","DEV-FE-1","10h","sub"
"SUB-236","State wiring + form validation — Contracts list + detail pages","Subtask","STY-091","DEV-FE-1","4h","sub"
"SUB-237","E2E + a11y pass — Contracts list + detail pages","Subtask","STY-091","DEV-FE-1","3h","sub"
"SUB-238","Component/page build — Contract create/edit form","Subtask","STY-092","DEV-FE-1","10h","sub"
"SUB-239","State wiring + form validation — Contract create/edit form","Subtask","STY-092","DEV-FE-1","4h","sub"
"SUB-240","E2E + a11y pass — Contract create/edit form","Subtask","STY-092","DEV-FE-1","3h","sub"
"SUB-241","Component/page build — Contract lifecycle actions (renew / terminate / sign)","Subtask","STY-093","DEV-FE-1","10h","sub"
"SUB-242","State wiring + form validation — Contract lifecycle actions (renew / terminate / sign)","Subtask","STY-093","DEV-FE-1","4h","sub"
"SUB-243","E2E + a11y pass — Contract lifecycle actions (renew / terminate / sign)","Subtask","STY-093","DEV-FE-1","3h","sub"
"SUB-244","Component/page build — Documents vault page (per employee)","Subtask","STY-094","DEV-FE-2","10h","sub"
"SUB-245","State wiring + form validation — Documents vault page (per employee)","Subtask","STY-094","DEV-FE-2","4h","sub"
"SUB-246","E2E + a11y pass — Documents vault page (per employee)","Subtask","STY-094","DEV-FE-2","3h","sub"
"SUB-247","Component/page build — Document upload widget (drag-drop + progress)","Subtask","STY-095","DEV-FE-2","10h","sub"
"SUB-248","State wiring + form validation — Document upload widget (drag-drop + progress)","Subtask","STY-095","DEV-FE-2","4h","sub"
"SUB-249","E2E + a11y pass — Document upload widget (drag-drop + progress)","Subtask","STY-095","DEV-FE-2","3h","sub"
"SUB-250","Component/page build — Document viewer (PDF preview modal)","Subtask","STY-096","DEV-FE-2","10h","sub"
"SUB-251","State wiring + form validation — Document viewer (PDF preview modal)","Subtask","STY-096","DEV-FE-2","4h","sub"
"SUB-252","E2E + a11y pass — Document viewer (PDF preview modal)","Subtask","STY-096","DEV-FE-2","3h","sub"
"SUB-253","Test plan + cases — Contracts + documents test cases","Subtask","STY-097","QA-1","4h","sub"
"SUB-254","Automation scripts — Contracts + documents test cases","Subtask","STY-097","QA-1","10h","sub"
"SUB-255","Schema/migration — lifecycle_events table + API (hire/promote/transfer/terminat","Subtask","STY-098","DEV-BE-1","4h","sub"
"SUB-256","Implementation — lifecycle_events table + API (hire/promote/transfer/terminat","Subtask","STY-098","DEV-BE-1","10h","sub"
